| time  |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 338   |  0  |      16 |      24 |  16|      25 |     300 |       0 |
| 339   |  0  |       4 |      24 |  17|      25 |     300 |       0 |
| 340   |  0  |       4 |      24 |   4|      25 |     300 |       0 |
| 341   |  0  |      16 |      24 |   5|      25 |     300 |       0 |
| 342   |  0  |      16 |      25 |   6|      25 |     300 |       0 |
| 343   |  0  |     100 |      25 |   7|      25 |     300 |       0 |
| 344   |  0  |     100 |     -75 |   8|      25 |     300 |       0 |
| 345   |  0  |      18 |     -75 |   9|      25 |     300 |       0 |
| 346   |  0  |      18 |     -75 |  10|      25 |     300 |       0 |
| 347   |  0  |      16 |     -75 |  11|      25 |     300 |       0 |
| 348   |  0  |      16 |      25 |  12|      25 |     300 |       0 |
| 349   |  0  |      17 |      25 |  13|      25 |     300 |       0 |
| 350   |  0  |      17 |      25 |  14|      25 |     325 |       0 |
| 351   |  0  |      16 |      25 |  15|      25 |     325 |       0 |
| 352   |  0  |      16 |      25 |  16|      26 |     325 |       0 |
| 353   |  0  |       4 |      25 |  17|      26 |     325 |       0 |
| 354   |  0  |       4 |      25 |   4|      26 |     325 |       0 |
| 355   |  0  |      16 |      25 |   5|      26 |     325 |       0 |
| 356   |  0  |      16 |      26 |   6|      26 |     325 |       0 |
| 357   |  0  |     100 |      26 |   7|      26 |     325 |       0 |
| 358   |  0  |     100 |     -74 |   8|      26 |     325 |       0 |
| 359   |  0  |      18 |     -74 |   9|      26 |     325 |       0 |
| 360   |  0  |      18 |     -74 |  10|      26 |     325 |       0 |
| 361   |  0  |      16 |     -74 |  11|      26 |     325 |       0 |
| 362   |  0  |      16 |      26 |  12|      26 |     325 |       0 |
| 363   |  0  |      17 |      26 |  13|      26 |     325 |       0 |
| 364   |  0  |      17 |      26 |  14|      26 |     351 |       0 |
| 365   |  0  |      16 |      26 |  15|      26 |     351 |       0 |
| 366   |  0  |      16 |      26 |  16|      27 |     351 |       0 |
| 367   |  0  |       4 |      26 |  17|      27 |     351 |       0 |
| 368   |  0  |       4 |      26 |   4|      27 |     351 |       0 |
| 369   |  0  |      16 |      26 |   5|      27 |     351 |       0 |
| 370   |  0  |      16 |      27 |   6|      27 |     351 |       0 |
| 371   |  0  |     100 |      27 |   7|      27 |     351 |       0 |
| 372   |  0  |     100 |     -73 |   8|      27 |     351 |       0 |
| 373   |  0  |      18 |     -73 |   9|      27 |     351 |       0 |
| 374   |  0  |      18 |     -73 |  10|      27 |     351 |       0 |
| 375   |  0  |      16 |     -73 |  11|      27 |     351 |       0 |
| 376   |  0  |      16 |      27 |  12|      27 |     351 |       0 |
| 377   |  0  |      17 |      27 |  13|      27 |     351 |       0 |
| 378   |  0  |      17 |      27 |  14|      27 |     378 |       0 |
| 379   |  0  |      16 |      27 |  15|      27 |     378 |       0 |
| 380   |  0  |      16 |      27 |  16|      28 |     378 |       0 |
| 381   |  0  |       4 |      27 |  17|      28 |     378 |       0 |
| 382   |  0  |       4 |      27 |   4|      28 |     378 |       0 |
| 383   |  0  |      16 |      27 |   5|      28 |     378 |       0 |
| 384   |  0  |      16 |      28 |   6|      28 |     378 |       0 |
| 385   |  0  |     100 |      28 |   7|      28 |     378 |       0 |
| 386   |  0  |     100 |     -72 |   8|      28 |     378 |       0 |
| 387   |  0  |      18 |     -72 |   9|      28 |     378 |       0 |
| 388   |  0  |      18 |     -72 |  10|      28 |     378 |       0 |
| 389   |  0  |      16 |     -72 |  11|      28 |     378 |       0 |
| 390   |  0  |      16 |      28 |  12|      28 |     378 |       0 |
